,eigenvalues,percentage
0,2.9689591259829076,18.555994537393122
1,2.4616364848198007,15.385228030123713
2,2.049382388879387,12.808639930496135
3,1.7844958892303435,11.153099307689619
4,1.5974019731503988,9.983762332189967
5,1.2620076982075206,7.887548113796983
6,1.000698177148796,6.2543636071799575
7,0.7618571519993482,4.761607199995914
8,0.7540117077663322,4.712573173539564
9,0.6040365113049365,3.7752281956558433
10,0.3891895346870126,2.432434591793822
11,0.2847601383713384,1.7797508648208602
12,0.03746904080242785,0.23418150501517346
13,0.02539242679286951,0.158702667455434
14,0.018701750856620833,0.1168859428538799
15,1.6662591056804292e-15,1.0414119410502654e-14
